пшеCarNumber,Refund,Fines,Make,Model,fines
Y163O8161RUS,2.0,3200.0,Ford,Focus,1989
E432XX77RUS,1.0,6500.0,Toyota,Camry,1995
7184TT36RUS,1.0,2100.0,Ford,Focus,1984
X582HE161RUS,2.0,2000.0,Ford,Focus,2015
E34877152RUS,2.0,6100.0,Ford,Focus,2014
92918M178RUS,1.0,5700.0,Ford,Focus,1990
E53488152RUS,2.0,1800.0,Ford,Focus,1988
X4128H125RUS,1.0,7860.9896432681,Ford,Focus,2016
C593EY154RUS,1.0,1000.0,Ford,Focus,2018
8049HT125RUS,1.0,500.0,Ford,Focus,2000
H234YH197RUS,2.0,6000.0,Ford,Focus,2000
E40577152RUS,1.0,7860.9896432681,Ford,Focus,1992
707987163RUS,2.0,2200.0,Ford,Focus,1985
K330T8197RUS,2.0,8200.0,Skoda,Octavia,2018
X786CO96RUS,1.0,7860.9896432681,Ford,Focus,2017
C477M7161RUS,1.0,2500.0,Ford,Focus,1998
O21997197RUS,1.0,2000.0,Ford,Focus,1986
M592CH197RUS,2.0,7860.9896432681,Skoda,Octavia,2014
9020YC197RUS,2.0,145000.0,Skoda,Octavia,1985
8182XX154RUS,1.0,200.0,Ford,Focus,1996
7830C8197RUS,2.0,7860.9896432681,Ford,Focus,2015
9408H7178RUS,1.0,1000.0,Skoda,Octavia,2007
7066C8197RUS,2.0,15000.0,Volkswagen,Passat,2013
M298CH161RUS,2.0,7860.9896432681,Ford,Focus,1992
M0299X197RUS,2.0,19200.0,Ford,Focus,1998
M268CH197RUS,2.0,800.0,Toyota,Camry,1995
E445TC197RUS,1.0,7860.9896432681,Ford,Focus,1986
8440XX154RUS,1.0,6200.0,Ford,Focus,2000
9371CE154RUS,2.0,7860.9896432681,Skoda,Octavia,2006
9182CE154RUS,2.0,19800.0,Ford,Focus,2008
8601XX154RUS,1.0,1300.0,Skoda,Octavia,1989
X286TC36RUS,1.0,500.0,Ford,Focus,1996
83298C154RUS,2.0,7860.9896432681,Ford,Focus,1980
Y7659C197RUS,2.0,7860.9896432681,Ford,Focus,1985
C922YE197RUS,2.0,3800.0,Volkswagen,Golf,1985
E34877152RUS,2.0,6100.0,Ford,Focus,2015
9935TE152RUS,2.0,2500.0,Ford,Focus,1984
7364C8197RUS,2.0,7860.9896432681,Ford,Focus,1992
M375CH197RUS,2.0,18100.0,Ford,Focus,2010
M5039X197RUS,2.0,7400.0,Volkswagen,,2010
8603T8154RUS,1.0,1500.0,Ford,Focus,1992
83218C154RUS,1.0,100.0,Ford,Focus,2018
9499KX178RUS,2.0,2300.0,Ford,Focus,2005
92928M178RUS,1.0,7860.9896432681,Ford,Focus,2012
H232YH197RUS,1.0,8600.0,Ford,Focus,2006
O672E8197RUS,2.0,63300.0,Skoda,Octavia,2012
E42277152RUS,2.0,10600.0,Ford,Focus,2005
X767HY197RUS,2.0,18000.0,Ford,Focus,1995
C903MC161RUS,1.0,1600.0,Volkswagen,Jetta,1982
T7318T163RUS,2.0,12000.0,Toyota,Camry,1987
Y7719C197RUS,1.0,9200.0,Ford,Focus,2013
T011MY163RUS,1.0,2000.0,Ford,Focus,1988
H115YO163RUS,1.0,2200.0,Ford,Focus,2019
C420X938RUS,1.0,3300.0,Ford,Focus,2010
934497178RUS,2.0,1900.0,Skoda,Octavia,2004
X765HY197RUS,2.0,13900.0,Ford,Focus,2005
73467Y96RUS,1.0,800.0,Ford,Focus,1980
T6488M116RUS,2.0,21000.0,Ford,Focus,2005
O134HE197RUS,1.0,7860.9896432681,Ford,Focus,2008
H968HY161RUS,1.0,2400.0,Ford,Focus,1994
Y654E8750RUS,1.0,500.0,Skoda,Octavia,2019
H963HY161RUS,2.0,2800.0,Ford,Focus,1985
H232YH197RUS,2.0,8600.0,Ford,Focus,1998
7843C8197RUS,2.0,12300.0,Ford,Focus,2019
X791O796RUS,1.0,500.0,Ford,Focus,2012
Y359O8197RUS,2.0,2000.0,Ford,Focus,1984
H958HY161RUS,1.0,1800.0,Ford,Focus,2014
X761HY197RUS,2.0,18300.0,Ford,Focus,2012
